Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
Arts Graphiques Option Illustration,768,768,185,0,0,106,0,117,0,3,12,0,12,0,0,3,476,11
Arts Graphiques Option Reliure Dorure,56,56,10,0,0,10,0,5,0,3,12,0,12,0,1,2,46,11
Arts plastiques,12904,12471,1320,426,35,582,44,7329,87,1615,2093,220,2409,1231,172,212,9635,1676
Assistance Conseil Vente à distance,330,246,15,76,9,202,42,3,4,52,38,14,162,2,48,2,195,33
Assistance technique d'ingénieur,7070,6759,2442,305,94,1563,60,949,27,480,521,41,649,71,190,219,1138,63
Assistant ingénieur en biologie-biochimie - biotechnologies,303,293,31,10,2,1,1,219,1,83,88,0,100,74,0,9,205,63
Assistant juridique,434,346,98,88,20,25,9,153,4,10,12,5,30,8,0,2,359,15
Assurance,27373,25524,8841,1827,665,5785,224,4661,163,866,995,147,1457,198,217,451,15512,695
Athlétisme et disciplines associées,84,84,25,0,0,10,0,38,0,0,0,0,3,0,0,0,20,0
Attelage canin,14,14,2,0,0,2,0,8,0,0,0,0,2,0,0,0,4,0
audiovisuel,622,622,81,0,0,53,0,347,0,16,20,0,20,16,0,0,234,13
Aviron (BPJEPS),14,14,5,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0
Aviron (DEJEPS),14,14,2,0,0,1,0,11,0,0,0,0,2,0,0,0,3,0
B/L - Lettres et sciences sociales,30548,30361,26,187,1,7,4,28024,118,1166,1191,16,1307,1166,0,0,20085,841
bac ES,78,70,0,8,0,0,0,63,6,23,22,2,25,23,0,0,29,13
"bac ES,L",38,38,0,0,0,0,0,30,0,2,3,0,3,2,0,0,20,2
"bac ES,STI2D,STL,bac +1+2 S",33457,33257,15393,200,39,0,0,3784,11,192,276,13,608,44,0,148,7547,59
bac S,1615259,1614909,1,348,0,0,0,1507638,241,13615,14101,41,14630,13615,0,0,445252,4282
"Bac S,STAV,STL",296,272,10,24,1,0,0,218,14,86,99,2,100,85,0,1,176,71
"bac S,STI2D",1781,1745,133,36,4,0,0,1322,14,239,261,1,294,236,0,3,391,63
"bac S,STI2D,STL",34046,33481,6892,565,93,0,0,23048,258,582,564,86,1657,455,0,127,4645,109
"bac STAV, STL",111,108,105,3,2,0,0,0,0,21,21,0,22,0,0,21,34,5
"bac STAV,STI2D,STL",10,8,8,2,2,0,0,0,0,1,1,0,3,0,0,1,3,1
bac STI2D,38707,38656,37179,51,31,0,0,1,0,382,388,1,531,0,0,382,2299,27
"bac STI2D,STL",1455,1451,1361,4,1,0,0,0,0,85,85,1,87,0,0,85,141,12
bac STL,273,271,260,2,1,0,0,1,0,13,14,0,33,0,0,13,105,5
Badminton,98,78,20,20,9,16,4,31,1,0,0,1,7,0,0,0,13,0
Banque conseiller de clientèle,45407,42505,13933,2885,898,9236,445,8851,255,1129,1324,147,1665,308,285,536,24729,876
Basket-ball,351,335,116,16,2,62,3,125,2,8,8,4,13,0,2,6,42,3
Bâtiment,19497,19091,7436,401,108,4754,112,2640,22,970,1089,33,1247,116,399,455,2300,158
Bâtiment et Construction,186,167,72,19,5,13,1,52,3,14,21,2,35,4,0,10,29,6
BCPST,65849,65361,271,488,8,14,7,58430,322,3361,3394,30,3542,3359,1,1,46009,2470
Bicursus Architecure Ingénieur EIVP,367,367,0,0,0,0,0,275,0,7,9,0,8,7,0,0,212,6
Bicursus Architecure Ingénieur ESTP,482,482,0,0,0,0,0,392,0,31,39,0,37,31,0,0,285,23
Bioanalyses et contrôles,18696,17529,7074,1159,368,826,55,5270,177,822,909,117,1133,264,47,511,12915,713
Bio-industries et biotechnologies,301,301,94,0,0,6,0,116,0,17,21,0,20,5,0,12,176,14
Biotechnologie,12657,12525,5270,132,35,451,4,3485,31,481,566,6,586,138,12,331,7750,380
BMX,10,10,3,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0
Cadre technique génie de l'environnement marin,49,49,13,0,0,0,0,19,0,10,13,0,12,7,0,3,22,5
Cadre technique production et valorisation des ressources marines,34,34,6,0,0,0,0,20,0,10,11,0,12,8,0,2,17,7
Canoë-Kayak,27,26,8,1,0,4,0,9,0,1,1,0,7,1,0,0,3,1
Canoë-kayak et disciplines associées en eau vive,8,6,3,2,1,1,1,2,0,1,1,0,2,1,0,0,1,1
Canyonisme,10,10,3,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0
