Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
Génie électrique et informatique industrielle,38088,35967,10399,2108,587,1053,84,20025,389,3271,3456,277,4057,1893,59,1319,2846,245
Génie électrique et informatique industrielle - Trinational,110,110,23,0,0,2,0,70,0,11,12,0,11,8,0,3,12,1
Génie industriel et maintenance,10142,9318,3710,815,198,446,83,4022,153,824,873,81,1176,396,27,401,726,63
Génie mécanique et productique,50421,49526,12798,889,286,564,8,29365,247,3116,3516,132,3709,1946,25,1145,4270,272
Génie mécanique et productique trinational,146,146,33,0,0,0,0,93,0,9,9,0,10,8,0,1,15,2
Génie thermique et énergie,11953,11476,3763,477,139,157,10,5899,81,800,918,45,1135,487,6,307,1198,81
Géographie et aménagement,22594,18150,1259,4434,587,351,381,12476,837,2562,2799,1162,5958,2025,176,361,10494,1671
Géologie appliquée,344,344,32,0,0,11,0,190,0,22,22,0,24,22,0,0,91,8
Géomètre-Géomaticien,57,54,5,3,0,2,0,34,1,10,14,1,15,8,0,2,15,3
Gestion,32991,31179,2767,1807,284,470,158,22492,319,2789,3264,260,3899,2537,38,214,16637,1782
Gestion administrative et commerciale des organisations,20989,20761,6179,227,52,544,4,11065,56,835,946,10,933,472,14,349,11654,610
Gestion administrative et commerciale des organisations - Arts,754,754,178,0,0,16,0,410,0,36,43,0,42,30,0,6,529,36
Gestion de la PME,91980,82036,27102,9824,3188,30860,1874,7427,566,5864,6117,854,8393,569,2878,2417,60634,4932
Gestion des entreprises et des administrations,155706,151199,38420,4484,1315,3126,190,89345,971,8529,9259,334,9812,5687,45,2797,77803,5312
Gestion et maitrise de l'eau,3480,3161,1366,318,90,449,33,618,36,374,404,72,701,95,60,219,844,103
Gestion et protection de la nature,14375,13878,3985,492,74,3202,90,3420,53,901,1136,55,1250,285,312,304,5505,483
Gestion forestière,4003,3893,1333,108,23,904,16,1038,24,337,371,22,469,105,97,135,667,63
Gestion logistique et transport,11903,10493,3092,1400,312,974,129,4401,174,1095,1194,164,1496,589,96,410,3101,386
Gestionnaire d'unité commerciale,116,89,15,27,8,27,4,28,2,17,17,6,110,5,9,3,46,14
Golf,32,31,6,1,0,2,0,19,0,0,0,0,7,0,0,0,4,0
Graphisme,16041,15576,3034,462,103,1722,61,5519,93,358,494,16,518,159,39,160,10878,414
Habitat décors et mobiliers. Spécialité : décors et traitements de surfaces,51,36,8,15,1,5,0,7,5,0,1,0,3,0,0,0,42,1
Habitat décors et mobiliers. Spécialité : Ebénisterie,621,595,85,26,3,34,4,56,1,2,65,0,77,0,2,0,285,23
Habitat décors et mobiliers. Spécialité : Marqueterie,19,13,0,6,0,2,1,1,1,0,2,0,3,0,0,0,6,1
Habitat décors et mobiliers. Spécialité : menuiserie en sièges,53,37,6,16,2,7,3,4,2,0,2,0,6,0,0,0,26,1
Habitat décors et mobiliers. Spécialité : sculpture sur bois,29,29,4,0,0,4,0,1,0,0,3,0,3,0,0,0,14,3
Habitat décors et mobiliers. Spécialité : tapisserie,22,19,3,3,1,1,0,3,0,0,0,0,4,0,0,0,17,0
Habitat décors et mobiliers. Spécialité Restauration et conservation de mobilier,27,24,4,3,0,3,2,4,0,0,0,0,12,0,0,0,18,0
Habitat Option décors et mobilier,82,82,23,0,0,18,0,17,0,2,9,0,12,0,1,1,70,9
Habitat Option Ornement et Objets. Spécialité : Ciselure,11,11,0,0,0,1,0,2,0,0,0,0,2,0,0,0,7,0
Habitat Option Ornement et Objets. Spécialité : conception application métal,28,18,4,10,2,2,1,1,1,0,2,0,3,0,0,0,16,1
Habitat Option Ornement et Objets. Spécialité : gravure en modelé,10,5,1,5,0,0,1,0,1,0,1,0,2,0,0,0,8,1
Habitat Option Ornement et Objets. Spécialité : gravure Ornementale,18,12,2,6,1,2,1,1,1,0,2,0,3,0,0,0,14,2
Habitat Option Ornement et Objets. Spécialité : tournage d'art,14,14,2,0,0,1,0,2,0,0,2,0,2,0,0,0,5,0
Handball,65,65,13,0,0,9,0,38,0,0,0,0,1,0,0,0,11,0
Histoire,79052,68554,5282,10483,1567,1811,1191,48571,1821,8445,9540,2829,17003,6380,748,1317,39151,5260
Histoire de l'art et archéologie,21829,18898,1338,2926,262,448,213,12233,402,2082,2729,910,5259,1704,141,237,15512,2604
Horticulture-Paysage,200,200,13,0,0,0,0,157,0,39,47,0,47,36,0,3,113,28
Hôtellerie restauration,9896,9388,1637,502,76,907,84,4443,67,865,1098,86,1756,528,110,227,5924,726
Humanités,10223,8663,499,1551,208,197,177,6182,230,1052,1194,407,2577,854,72,126,7240,1096
Hygiène Sécurité Environnement,9373,9086,2528,285,84,557,18,4805,45,751,827,46,981,477,31,243,2730,232
Industries céramiques,67,67,32,0,0,5,0,9,0,10,14,0,15,1,0,9,21,5
Information communication Option communication des organisations,20305,20162,3557,143,69,230,6,11994,4,568,723,8,715,434,2,132,15311,612
Information communication Option information numérique dans les organisations,4278,4137,713,138,13,73,3,2272,49,211,292,7,297,154,4,53,2422,191
Information communication Option journalisme,4247,4247,435,0,0,68,0,2750,0,81,116,0,112,71,0,10,2191,62
Information communication Option métiers du livre et du patrimoine,4050,4014,325,36,20,132,0,2046,0,272,423,0,425,238,7,27,3315,352
Information communication Option publicité,7175,7175,1209,0,0,107,0,4259,0,225,285,0,284,162,3,60,5052,230
Information et communication,43160,40518,2913,2633,409,549,199,27331,534,3263,3959,637,5620,2742,112,409,30345,3052
Informatique,132015,125755,25040,6238,902,2164,315,77803,1458,7909,8986,1066,12215,5841,161,1907,15302,1048
Informatique d'Organisation des Systèmes d'Information,238,226,81,12,4,7,1,87,0,20,28,4,35,9,0,11,19,2
Innovation sociale,299,298,82,1,0,29,0,99,0,24,30,0,30,12,1,11,212,18
Innovations textiles - Option A : Structures,100,100,33,0,0,34,0,11,0,12,14,0,15,1,7,4,46,9
Innovations textiles - Option B : Traitements,72,72,28,0,0,23,0,4,0,7,8,0,15,3,0,4,47,6
Insertion à la Licence Scientifique (APILS),233,227,53,6,3,13,0,103,0,36,42,2,45,28,0,8,130,29
Instrument,88,88,9,0,0,4,0,28,0,0,12,0,12,0,0,0,38,4
Intervention Sociale,487,465,198,22,8,40,4,124,1,36,56,7,70,4,9,23,421,53
Judo-Jujitsu (BPJEPS),141,124,35,17,7,26,3,55,3,4,3,2,14,3,0,1,34,2
Judo-Jujitsu (DEJEPS),29,29,5,0,0,7,0,9,0,1,2,0,2,1,0,0,5,0
Langues étrangères appliquées,115810,103722,9695,12069,1604,3577,1416,69705,2116,13667,15650,3583,23428,10384,1076,2207,85787,13658
"Langues, littératures & civilisations étrangères",1927,1394,160,529,86,63,74,814,92,127,114,115,270,57,36,34,1447,155
"Langues, littératures & civilisations étrangères et régionales",106676,89082,5908,17565,1869,2711,1745,61215,3078,13796,15975,5251,34291,11017,1085,1694,80910,15363
Lettres,97874,88711,1249,9135,610,837,763,74699,1957,9066,9970,2195,18922,8439,303,324,75279,9569
"Lettres, langues",1923,1686,55,237,21,46,36,1241,56,152,177,41,295,132,15,5,1595,186
Licence intégrée franco-allemande en droit,123,81,2,42,2,2,4,68,12,7,7,1,40,7,0,0,89,7
Littéraire,346,297,8,49,1,3,4,255,25,57,53,5,75,57,0,0,218,38
Livre,1095,989,208,106,14,29,21,295,27,26,37,4,42,16,0,10,863,38
Lutte et disciplines associées,13,13,3,0,0,3,0,5,0,0,0,0,2,0,0,0,1,0
Maintenance des installations oléohydrauliques et pneumatiques,74,69,0,5,0,64,5,1,0,12,10,2,57,0,12,0,1,0
Maintenance des matériels de construction et de manutention,694,672,96,21,1,412,12,22,1,73,74,4,123,0,66,7,19,2
Maintenance des systèmes - option A Systèmes de production,18143,17238,4405,891,207,9325,356,626,41,1624,1650,125,2193,46,1071,507,860,51
Maintenance des systèmes - option B Systèmes énergétiques et fluidiques,2154,2108,395,45,12,1342,18,62,0,163,176,4,235,2,127,34,40,1
Maintenance des systèmes - option C Systèmes éoliens,1432,1384,625,48,22,507,5,59,1,91,97,6,111,2,44,45,31,2
Maintenance des véhicules option motocycles,948,947,313,1,1,404,0,105,0,48,51,0,64,8,31,9,24,2
Maintenance des véhicules option véhicules de transport routier,800,785,138,13,0,423,7,36,1,80,96,1,128,3,64,13,18,0
Maintenance des véhicules option voitures particulières,8846,8741,1753,103,17,4846,46,688,5,759,810,17,952,58,564,137,379,43
"Maintenance hôtelière, hospitalière et immobilière",69,52,13,17,6,18,3,19,2,12,13,0,30,2,6,4,20,0
Management des unités commerciales,220440,207620,73396,12696,3667,64104,2775,29500,930,9179,9920,704,12589,1284,4222,3673,105621,5686
Management en hôtellerie restauration,18123,17895,6743,218,65,7066,91,0,0,2316,3214,46,3832,0,1083,1233,9202,1685
Maquettes et prototypes,93,91,6,2,0,45,1,1,0,6,21,0,28,0,6,0,36,8
Matériaux,1006,898,283,107,19,63,15,253,25,68,88,12,117,26,5,37,698,73
Mathématique - Préparation aux écoles d'ingénieurs,677,677,17,0,0,9,0,538,0,38,38,0,40,38,0,0,216,19
Mathématiques,65706,59218,1847,6478,606,252,246,46429,1610,4023,4735,1325,10508,3605,103,315,20039,1851
Mathématiques et informatique appliquées aux sciences humaines et sociales,24036,22974,1047,1061,95,146,50,16926,210,1552,1950,257,2661,1418,30,104,9859,988
Mathématiques Physique Préparation Concours,265,265,11,0,0,5,0,180,0,2,8,0,10,2,0,0,87,4
"Mathématiques, physique, chimie, informatique",1202,1202,30,0,0,4,0,981,0,29,29,0,25,29,0,0,326,8
Mécanicien en compétition automobile - Option monoplace,27,27,1,0,0,24,0,0,0,10,11,0,12,0,10,0,0,0
Mécanique,4244,3761,338,483,43,33,12,2728,178,217,266,33,502,197,3,17,739,57
Mécatronique navale,158,129,5,27,4,116,17,2,0,44,40,5,66,0,40,4,9,2
Méd. Bio. Pass,55,47,2,8,2,1,0,32,2,12,16,0,40,12,0,0,38,11
"Médiations citoyennes : éducation, culture, social, environnement",226,226,57,0,0,36,0,76,0,30,45,0,45,14,9,7,164,31
Mesures physiques,25196,24335,2473,856,159,39,11,18235,220,1956,2225,111,2512,1695,0,261,4962,471
Métiers de la chimie,9250,9050,3321,196,59,631,10,2734,26,622,746,26,831,187,66,369,5008,428
Métiers de la cohésion sociale,287,186,71,101,30,19,17,52,6,5,6,4,30,2,0,3,239,8
Métiers de la coiffure,721,647,184,74,10,196,28,100,3,34,45,9,110,7,12,15,571,45
Métiers de la forme,3959,3712,1039,244,53,414,34,1397,54,80,140,20,177,47,4,29,812,55
Métiers de la mode-chaussure et maroquinerie,1081,1080,155,1,0,474,0,169,1,63,80,1,93,8,46,9,893,74
Métiers de la mode-vêtements,10189,10052,1696,137,33,4490,43,1621,12,577,665,11,707,90,420,67,8629,613
"Métiers de l'animation sociale, socio-éducative et socio-culturelle",191,131,36,60,10,15,10,41,5,7,7,16,22,2,3,2,117,15
Métiers de l'audio-visuel opt : gestion de la production,5975,5975,991,0,0,561,0,2576,0,123,160,0,163,89,19,15,2567,96
Métiers de l'audio-visuel opt : métiers de l'image,13885,13817,2202,68,0,1444,0,5974,24,104,129,1,131,66,23,15,4363,61
Métiers de l'audio-visuel opt : métiers du son,12123,12062,2638,61,0,1444,0,4554,27,134,155,0,160,77,26,31,1658,33
Métiers de l'audio-visuel opt : montage et post-production,14609,14606,2510,0,0,1435,0,5849,0,136,170,0,158,95,26,15,3571,75
Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements,3169,3163,901,5,3,501,0,966,0,140,170,0,171,58,33,49,446,32
Métiers de l'eau,2437,2298,1065,138,42,324,25,418,3,188,237,17,325,50,42,96,731,70
Métiers de l'esthétique-cosmétique-parfumerie,13987,13543,4402,443,107,3988,78,2619,60,798,921,42,1183,137,433,228,13750,955
Métiers des bibliothèques et de la documentation,153,137,12,16,2,6,2,49,0,9,26,0,40,7,0,2,109,18
Métiers des Services à l'environnement,2452,2259,657,191,40,519,49,351,8,199,235,28,317,19,102,78,1017,114
Métiers du géomètre-topographe et de la modélisation numérique,3928,3819,976,109,39,977,10,1052,6,304,333,23,417,104,119,81,549,60
Métiers du livre,110,110,10,0,0,8,0,46,0,5,12,0,13,4,0,1,84,8
Métiers du multimédia et de l'internet,39298,38673,10236,621,93,1068,39,18575,163,1527,1935,36,1942,965,28,534,9937,661
Métiers du sport,151,118,23,33,10,16,5,61,10,6,5,1,14,3,1,2,43,1
Mise à niveau en sciences et technologies,436,340,87,91,19,26,10,148,17,22,14,17,75,9,3,10,252,22
Mise à niveau scientifique,1110,946,248,164,36,90,14,384,33,105,117,10,160,43,9,53,676,91
Mode,5482,5482,1027,0,0,757,0,1953,0,77,115,0,112,33,12,32,4362,84
Moteur à combustion interne,2057,2009,636,47,18,740,1,340,7,158,176,4,199,26,78,54,83,7
Motocyclisme,26,22,11,4,2,0,1,9,0,0,0,0,2,0,0,0,1,0
MPSI,173599,171286,326,2310,39,40,10,142369,1288,7810,7963,125,8729,7809,0,1,47970,2001
Musicologie,8873,7648,754,1221,137,234,81,4820,219,1198,1553,273,2477,937,63,198,4004,743
Natation,25,25,10,0,0,2,0,9,0,1,1,0,2,0,0,1,3,1
Négociation et digitalisation de la Relation Client,140769,134494,51880,6140,1734,42111,1476,16129,525,6270,6787,362,8426,788,2783,2699,64924,3646
Notariat,18877,17701,5389,1170,231,1862,141,5000,138,748,962,113,1529,351,88,309,13784,909
Numérique,2797,2749,496,45,6,334,8,1050,10,113,146,1,139,58,16,39,1588,94
Objet,7333,6904,1644,425,76,573,62,2221,103,302,484,21,517,119,51,132,4514,348
Océanographe - Prospecteur,34,34,5,0,0,0,0,22,0,10,13,0,12,9,0,1,14,4
Opticien-Lunetier,8818,8612,2240,205,28,1287,17,2945,41,551,686,53,856,266,147,138,6183,529
Option costumier réalisateur,589,589,102,0,0,82,0,34,0,7,41,0,37,0,2,5,544,36
Option économique - Prépa St Cyr,1911,1911,18,0,0,2,0,1617,0,122,134,0,135,122,0,0,501,47
Option lettres et sciences humaines (St Cyr),960,943,6,17,0,0,0,775,10,78,79,0,85,78,0,0,336,26
Organisateur de réception,625,542,96,81,17,358,31,16,5,79,87,5,174,0,67,12,436,69
Ornement,138,120,18,18,0,5,3,39,5,8,16,1,18,4,2,2,125,15
"PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes)",220090,212310,7885,7698,1101,1872,734,176758,1998,37386,39755,1931,47915,35241,543,1602,150426,28851
"Packaging, emballage et conditionnement",1499,1423,557,76,37,34,2,644,11,166,180,5,186,109,0,57,782,106
Parcours mathématiques-physique,920,859,29,61,7,8,8,669,17,17,17,4,30,17,0,0,267,5
Parcours physique-chimie,548,400,18,148,11,7,8,281,46,10,10,5,30,10,0,0,255,5
Parcours scientifique renforcé,653,641,14,12,0,6,2,502,6,27,31,0,36,27,0,0,192,7
Patrimoine,93,62,20,31,10,3,2,8,6,6,13,4,23,2,0,4,63,11
Paysage,517,480,43,37,4,23,0,232,17,53,86,1,95,44,3,6,279,50
Paysagiste concepteur,7,0,0,7,0,0,2,0,5,0,0,0,30,0,0,0,5,0
PCSI,149952,147780,186,2169,50,17,25,123479,1294,7696,7936,167,9152,7694,0,2,49389,2605
PCSO : Préparation aux cursus scientifiques d'Orsay,657,657,168,0,0,34,0,314,0,109,127,0,120,74,1,34,414,90
Peinture décoration,12,9,0,3,2,8,0,0,0,2,2,0,12,0,2,0,7,0
Philosophie,21814,17860,937,3952,434,235,281,12156,715,1349,1681,866,4094,1105,76,168,13372,1380
Photographie,3978,3933,683,45,4,527,12,1614,4,124,179,8,189,82,25,17,2645,123
Physique,26166,23812,809,2349,217,77,73,17847,530,1449,1781,505,4155,1285,33,131,8319,635
"Physique, chimie",19986,17176,928,2803,312,80,65,12842,672,1113,1236,491,2843,959,22,132,8083,652
Pilotage des procédés,817,705,233,112,26,292,35,54,5,119,123,28,171,7,73,39,202,44
Podo-orthésiste,434,434,189,0,0,12,0,83,0,19,37,0,38,8,2,9,297,18
Portail,1143,1143,257,0,0,160,0,401,0,58,88,0,90,27,10,21,838,73
"Pratique et gestion des activités physiques, sportives et de loisirs pour les publics séniors",158,152,40,6,0,19,2,48,0,12,20,1,20,5,2,5,66,12
Préparation au concours IEP,1163,1163,14,0,0,1,0,1098,0,83,83,0,72,83,0,0,774,64
Préparation aux concours d'entrée des écoles d'Assistant de service social,190,141,40,49,11,29,20,45,5,1,1,2,31,1,0,0,170,2
Préparation aux concours d'entrée des écoles de Kinésithérapeute,227,191,30,36,8,15,5,134,7,3,3,0,360,1,2,0,149,1
Préparation aux concours d'entrée des écoles de Psychomotricité,358,308,44,50,4,12,5,166,11,15,16,2,150,13,0,2,322,17
Préparation aux concours d'entrée des écoles de Soins Infirmiers,20789,20172,7841,610,184,2580,129,7783,82,1240,1262,60,1776,399,195,646,18319,1193
Préparation aux concours d'entrée des écoles d'Educateur de Jeunes Enfants,423,363,109,60,13,76,21,138,6,15,16,0,61,10,2,3,368,15
Préparation aux concours d'entrée des écoles d'Educateur spécialisé,608,529,181,79,17,91,29,185,9,29,29,4,82,17,1,11,508,28
Préparation aux concours d'entrée des écoles d'Orthophonie,1417,1361,74,56,10,11,4,997,15,47,53,2,77,46,0,1,1355,55
Préparation aux concours d'entrée en écoles d'audioprothésiste,121,108,11,13,2,2,1,66,0,6,7,1,30,6,0,0,83,4
Préparation aux concours d'entrée en écoles d'orthoptiste,166,144,14,22,4,4,4,81,4,6,8,1,30,6,0,0,143,8
"Préparation aux concours des écoles de commerce, Parcours Economie- Finance",839,838,8,1,0,2,0,760,1,93,95,0,95,93,0,0,393,44
"Préparation aux concours des écoles de commerce, Parcours Gestion",761,757,6,4,1,0,0,690,1,91,92,1,95,91,0,0,411,59
Préparation aux concours paramédicaux,7311,6864,1915,446,92,568,101,3242,63,245,263,23,390,108,21,116,6322,260
"Préparation concours écoles de cinéma, photo, image (PREP'ARTS)",173,166,15,7,0,6,2,114,5,18,30,0,45,18,0,0,88,13
Prep'ISIMA,296,252,16,44,5,0,1,206,9,16,17,1,24,15,0,1,54,2
Production horticole,2153,2043,313,100,14,628,18,259,3,231,276,34,539,33,149,49,841,141
"Production, contrôles et qualité des produits de santé",138,138,26,0,0,10,0,49,0,9,14,0,15,3,2,4,110,11
productions animales,7920,7688,3110,230,63,1612,56,2170,21,771,804,29,997,260,152,359,5247,574
productions animales pour Bac pro agricole : accéder à une école d'ingénieur,54,48,4,6,1,36,2,5,1,6,6,0,12,0,6,0,27,4
Professions immobilières,50817,49904,16236,900,316,9431,168,13706,51,1139,1334,37,1439,413,261,465,28547,904
Prothésiste dentaire,2232,2227,533,5,0,500,1,517,0,53,57,1,68,1,51,1,1493,33
Prothésiste orthésiste,3149,3149,984,0,0,55,0,831,0,67,125,0,123,34,4,29,2188,86
Psychologie,121784,117252,13583,4523,449,3615,251,68677,799,11884,16112,1392,18300,9114,763,2007,98665,14254
PTSI,34795,33961,264,833,44,9,14,28870,411,2554,2658,75,3128,2553,0,1,6159,422
Qualité dans les industries alimentaires et les bio-industries,2462,2362,1076,98,33,320,17,349,13,189,226,21,283,34,33,122,1536,160
"Qualité, logistique industrielle et organisation",6444,5836,1739,604,195,266,36,2884,107,779,873,88,1016,460,30,289,1668,252
Régie de spectacle Option lumière,503,503,97,0,0,133,0,113,0,25,40,0,40,15,7,3,151,15
Régie de spectacle Option son,736,736,175,0,0,95,0,251,0,28,40,0,40,16,3,9,142,12
Réseaux et télécommunications,15714,14769,4948,940,241,687,66,7187,174,1294,1382,112,1579,709,40,545,1197,70
Responsable technique en bâtiment et travaux publics,52,52,12,0,0,15,0,11,0,14,20,0,20,8,4,2,9,6
Rugby à XV,172,172,65,0,0,28,0,58,0,1,2,0,3,0,0,1,12,1
"Santé, environnement : techniques industrielles et commerciales",250,140,35,109,22,8,12,71,15,10,6,17,30,7,0,3,159,16
Science et génie des matériaux,6457,6166,1289,290,79,19,16,4029,60,467,518,28,589,360,0,107,1058,98
Science et génie des matériaux - arts appliqués,295,287,90,8,0,2,1,152,2,32,35,1,42,25,0,7,132,17
Science politique,26358,25301,583,1057,112,151,58,19430,319,1395,1636,213,2385,1324,24,47,15609,1051
Sciences de la terre,11597,9779,437,1816,181,59,75,7013,398,728,840,274,1955,652,11,65,5978,481
Sciences de la vie,91892,85634,5457,6241,600,289,137,59069,1396,7456,9654,1499,15905,6605,73,778,62646,7228
Sciences de la vie et de la terre,29230,27898,1626,1329,138,128,36,19089,291,2474,3184,427,4252,2187,28,259,19499,2253
Sciences de la Vie et de la Terre : préparation aux concours B Agro et Véto (Sites Saint Charles),755,661,32,94,5,11,6,503,34,16,11,12,25,16,0,0,566,16
Sciences de l'éducation,41311,40865,5404,443,51,1097,24,23560,82,3281,4279,129,4655,2424,157,700,36313,4004
"Sciences de l'Homme, Anthropologie, Ethnologie",5944,5506,220,438,37,58,26,3593,70,562,846,102,912,506,24,32,4164,609
Sciences du langage,15464,12906,674,2552,270,142,169,8136,474,1682,2231,763,3841,1404,65,213,13308,2556
Sciences économiques,237,203,6,34,4,4,7,175,12,35,31,4,40,35,0,0,94,12
Sciences et Humanités,672,672,67,0,0,21,0,406,0,36,59,0,60,33,1,2,431,30
Sciences et Techniques des Activités Physiques et Sportives,144036,141501,17819,2469,452,3617,210,97444,669,17161,19657,499,20697,14047,557,2557,43827,6277
Sciences et technologies,33729,32649,1480,1075,120,129,41,23049,264,2117,2962,231,3359,1931,29,157,14994,1493
Sciences et technologies des aliments spécialité Aliments et processus technologiques,2730,2443,911,282,76,544,55,358,16,337,384,60,684,58,113,166,1555,241
Sciences et technologies des aliments spécialité Produits céréaliers,76,71,15,5,1,28,2,8,0,6,11,1,16,0,5,1,31,3
Sciences et technologies des aliments spécialité Produits laitiers,501,486,165,14,4,106,3,95,2,61,74,6,94,20,14,27,286,49
Sciences et technologies des aliments spécialité Viandes et produits de la pêche,111,110,38,1,1,17,0,21,0,9,13,0,18,4,1,4,32,4
Sciences pour la santé,19738,19088,1483,643,92,127,35,11998,108,975,1404,258,1857,754,19,202,15204,1315
Sciences pour l'ingénieur,22893,20930,2114,1957,259,210,83,14910,500,1090,1208,360,2730,839,40,211,4386,253
Sciences sanitaires et sociales,7622,7153,2949,467,88,510,73,2219,38,689,808,147,1149,212,65,412,6993,879
Sciences sociales,19642,17476,1343,2164,315,340,199,11650,305,1933,2387,667,3618,1533,141,259,13777,2055
Scientifique,2025,1939,123,86,9,107,22,1445,27,209,212,3,240,176,22,11,601,60
Service et prestation des secteurs sanitaire et social,43166,41399,13409,1740,358,15606,528,4349,81,2402,2678,189,3329,242,1167,993,39728,2717
Services financiers,120,112,19,8,1,84,5,6,0,18,17,2,30,1,16,1,76,16
Services informatiques aux organisations,61234,57386,20298,3808,1167,13949,520,9455,298,4080,4668,356,5873,827,1504,1749,4850,383
Sociologie,39354,33543,3444,5794,928,893,594,21497,972,3738,4097,2048,7142,2482,427,829,28601,4362
Spectacle,1927,1922,340,5,0,252,3,459,1,76,136,1,134,33,13,30,1582,106
Spéléologie,8,8,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
Statistique et informatique décisionnelle,6032,5666,591,366,59,14,4,3940,116,485,586,51,683,437,1,47,1504,187
Support à l'action managériale,67803,61140,23965,6556,1971,22794,1422,4016,387,5522,5848,711,7895,470,2489,2563,50006,5221
Surf,30,27,5,3,2,5,0,12,1,1,2,0,5,0,0,1,4,1
Systèmes constructifs bois et habitat,3352,3253,1117,99,24,1290,34,429,11,319,357,20,458,38,185,96,253,27
Systèmes numériques - Option électronique et communication,19497,17828,6236,1652,485,6683,449,1729,85,1518,1619,148,2153,118,718,682,811,57
Systèmes numériques - Option informatique et réseaux,53473,51727,18842,1722,328,11950,566,8923,121,2434,2737,116,3065,406,864,1164,3152,110
Systèmes photoniques,1117,925,461,190,62,192,33,127,15,141,146,34,245,19,27,95,219,41
TB,1967,1967,1892,0,0,0,0,0,0,201,202,0,197,0,0,201,1322,130
"Technicien ascensoriste, service et modernisation",831,780,3,50,7,702,35,0,0,105,112,8,196,0,105,0,9,2
Technicien de la mer et du littoral,208,208,56,0,0,13,0,86,0,20,31,0,32,9,0,11,91,9
Technicien en chaudronnerie aéronautique et spatiale,130,126,1,4,0,122,4,1,0,31,29,2,36,0,31,0,2,0
Technicien en énergies renouvelables (option énergie électrique),749,682,16,65,9,594,36,6,1,101,106,8,246,0,96,5,21,3
Technicien en énergies renouvelables (option thermique),431,380,10,49,2,328,34,6,0,72,65,8,149,0,69,3,14,0
Technicien en Qualité Sécurité Environnement Management des risques,48,41,3,7,1,0,0,27,3,15,17,2,47,14,0,1,18,6
Technicien en réseau électrique,142,134,4,8,1,123,7,1,0,18,18,0,34,0,16,2,3,0
Technicien Supérieur du transport aérien et maritime de marchandises,24,19,6,5,2,3,1,7,0,0,1,0,15,0,0,0,6,1
Technicien Supérieur Géologie,59,58,6,1,0,0,0,40,1,17,22,0,30,14,0,3,16,6
Technicien(ne) en soudage,823,790,8,33,5,741,23,1,0,140,139,12,204,0,139,1,25,6
Technicien(ne) en tuyauterie,77,71,2,5,2,66,2,0,0,23,24,0,67,0,23,0,3,1
Technico-commercial (BTS),36587,34731,12892,1835,397,10221,464,4166,158,2040,2229,158,2726,158,1054,828,9549,518
Technico-commercial (BTSA),5755,4834,1385,885,277,1856,213,605,68,888,887,154,1603,121,491,276,2602,507
Techniques de commercialisation,167954,162829,45454,5100,1430,3427,197,92234,1329,8107,8739,438,9218,4814,136,3157,81191,5253
Techniques de commercialisation - Formation franco-allemande en gestion touristique TEC2TOUR,198,195,28,3,0,4,2,125,1,12,13,1,14,12,0,0,134,13
Techniques de commercialisation - Formation trinationale franco-germano-suisse IBM,346,346,37,0,0,5,0,248,0,31,33,0,32,30,0,1,181,20
Techniques et services en matériels agricoles,737,732,132,5,0,460,3,41,0,110,114,1,138,4,96,10,42,1
Techniques physiques pour l'industrie et le laboratoire,1640,1450,599,188,54,76,15,352,17,123,160,22,234,41,4,78,481,47
Technologies de l'organisation dans les professions de santé,181,99,38,82,23,2,6,31,9,16,12,11,30,5,0,11,137,15
Tennis,116,104,28,12,1,11,1,51,2,2,3,0,12,1,0,1,22,0
Tennis de table (BPJEPS),60,54,14,6,2,9,3,26,0,0,0,0,9,0,0,0,11,0
Tennis de table (DEJEPS),58,44,8,14,5,9,2,20,6,0,0,0,4,0,0,0,3,0
Textile,1818,1793,518,25,2,153,4,468,5,63,82,3,85,28,9,26,1595,71
"Textile Céramique : Arts textiles, option broderie",224,224,75,0,0,33,0,13,0,5,20,0,19,0,0,5,209,20
"Textile Céramique : Arts textiles, option tissage",78,78,30,0,0,9,0,4,0,2,5,0,4,0,0,2,74,5
Textile Céramique : Céramique Artisanale,156,137,40,19,2,10,3,19,6,9,22,2,24,2,1,6,127,19
Théologie,150,122,11,28,6,7,6,80,7,10,12,2,145,8,1,1,72,7
Théologie Catholique,137,93,2,44,2,3,3,53,6,5,12,11,65,5,0,0,66,10
Théologie Protestante,116,69,5,47,4,4,0,33,1,2,8,26,65,0,1,1,51,16
Tourisme,64153,60881,13610,3248,567,12478,630,19056,343,2928,3744,351,4908,1264,817,847,49014,3324
TPC,568,556,531,12,7,0,0,0,0,97,98,1,110,0,0,97,232,41
Traitement des matériaux,1024,880,431,143,55,133,8,112,13,111,121,25,173,16,20,75,140,19
Transport et prestations logistiques,16929,15921,3645,985,144,5488,252,1673,40,1058,1148,79,1404,112,637,309,3953,276
Travaux publics,7733,7267,2784,461,107,1866,102,1015,42,496,539,53,729,63,208,225,580,38
