Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
Autre formation,Année préparatoire,Année préparatoire aux Etudes de Santé,922,756,693,376,152,62,228,59,66,32,80,60,5,65,35,13,17,55
Autre formation,Année préparatoire,Année Préparatoire aux Etudes Supérieures Scientifiques,547,255,318,216,19,6,227,83,15,15,180,43,31,55,46,0,9,31
Autre formation,Année préparatoire,Année Préparatoire aux Licences Mathématiques et Informatique (L0),15,5,12,6,2,0,3,1,0,0,20,1,0,1,1,0,0,0
BTS,BTSA,Aquaculture,1345,256,1314,236,343,380,31,6,5,4,198,159,4,142,28,80,34,21
Autre formation,Ecole d'architecture,Architecture,35959,20472,35823,21832,3475,1031,136,51,18,3,2537,2510,5,1877,1546,78,253,1602
BTS,BTS - Production,Architectures en Métal : conception et Réalisation,2272,260,2246,272,846,568,25,3,3,16,263,227,6,199,20,84,95,22
Autre formation,Année préparatoire,ARS Année de Remise à Niveau Scientifique,204,91,176,102,23,12,28,8,5,2,100,44,11,37,20,5,12,19
Autre formation,Diplôme des métiers d'Arts,Art du bijou et du joyau,263,202,234,49,62,18,29,7,3,5,39,15,1,5,1,0,4,14
Autre formation,Classe préparatoire aux études supérieures,Arts,2879,2101,2571,1706,263,196,306,89,40,47,269,223,18,210,183,11,16,178
Licence,Licence - Arts-lettres-langues,Arts,20228,13393,19121,11368,1822,724,1098,232,114,132,3431,2478,276,1888,1451,183,254,1877
Autre formation,Mise à niveau,Arts appliqués,14413,9834,13935,7306,1773,1871,478,117,59,69,965,800,109,689,518,94,77,657
Licence,Licence - Arts-lettres-langues,Arts du spectacle,32428,19498,31277,20427,2074,873,1147,221,138,141,4880,4197,430,3209,2660,199,350,2624
Autre formation,Diplôme des métiers d'Arts,Arts Graphiques Option Gravure,141,93,141,12,40,7,0,0,0,0,12,12,0,3,0,0,3,10
Autre formation,Diplôme des métiers d'Arts,Arts Graphiques Option Illustration,768,476,768,117,185,106,0,0,0,0,12,12,0,3,0,0,3,11
Autre formation,Diplôme des métiers d'Arts,Arts Graphiques Option Reliure Dorure,56,46,56,5,10,10,0,0,0,0,12,12,0,3,0,1,2,11
Licence,Licence - Arts-lettres-langues,Arts plastiques,12904,9635,12471,7329,1320,582,426,87,35,44,2409,2093,220,1615,1231,172,212,1676
Autre formation,Mention complémentaire,Assistance Conseil Vente à distance,330,195,246,3,15,202,76,4,9,42,162,38,14,52,2,48,2,33
BTS,BTS - Production,Assistance technique d'ingénieur,7070,1138,6759,949,2442,1563,305,27,94,60,649,521,41,480,71,190,219,63
Autre formation,Technicien supérieur,Assistant ingénieur en biologie-biochimie - biotechnologies,303,205,293,219,31,1,10,1,2,1,100,88,0,83,74,0,9,63
Autre formation,DEUST,Assistant juridique,434,359,346,153,98,25,88,4,20,9,30,12,5,10,8,0,2,15
BTS,BTS - Services,Assurance,27373,15512,25524,4661,8841,5785,1827,163,665,224,1457,995,147,866,198,217,451,695
Autre formation,DEJEPS,Athlétisme et disciplines associées,84,20,84,38,25,10,0,0,0,0,3,0,0,0,0,0,0,0
Autre formation,DEJEPS,Attelage canin,14,4,14,8,2,2,0,0,0,0,2,0,0,0,0,0,0,0
Autre formation,Année préparatoire,audiovisuel,622,234,622,347,81,53,0,0,0,0,20,20,0,16,16,0,0,13
Autre formation,BPJEPS,Aviron (BPJEPS),14,4,14,6,5,0,0,0,0,0,3,0,0,0,0,0,0,0
Autre formation,DEJEPS,Aviron (DEJEPS),14,3,14,11,2,1,0,0,0,0,2,0,0,0,0,0,0,0
CPGE,Classe préparatoire littéraire,B/L - Lettres et sciences sociales,30548,20085,30361,28024,26,7,187,118,1,4,1307,1191,16,1166,1166,0,0,841
Autre formation,Formations d'ingénieurs,bac ES,78,29,70,63,0,0,8,6,0,0,25,22,2,23,23,0,0,13
Autre formation,Formations d'ingénieurs,"bac ES,L",38,20,38,30,0,0,0,0,0,0,3,3,0,2,2,0,0,2
Autre formation,Formations d'ingénieurs,"bac ES,STI2D,STL,bac +1+2 S",33457,7547,33257,3784,15393,0,200,11,39,0,608,276,13,192,44,0,148,59
Autre formation,Formations d'ingénieurs,bac S,1615259,445252,1614909,1507638,1,0,348,241,0,0,14630,14101,41,13615,13615,0,0,4282
Autre formation,Formations d'ingénieurs,"Bac S,STAV,STL",296,176,272,218,10,0,24,14,1,0,100,99,2,86,85,0,1,71
Autre formation,Formations d'ingénieurs,"bac S,STI2D",1781,391,1745,1322,133,0,36,14,4,0,294,261,1,239,236,0,3,63
Autre formation,Formations d'ingénieurs,"bac S,STI2D,STL",34046,4645,33481,23048,6892,0,565,258,93,0,1657,564,86,582,455,0,127,109
Autre formation,Formations d'ingénieurs,"bac STAV, STL",111,34,108,0,105,0,3,0,2,0,22,21,0,21,0,0,21,5
Autre formation,Formations d'ingénieurs,"bac STAV,STI2D,STL",10,3,8,0,8,0,2,0,2,0,3,1,0,1,0,0,1,1
Autre formation,Formations d'ingénieurs,bac STI2D,38707,2299,38656,1,37179,0,51,0,31,0,531,388,1,382,0,0,382,27
